qid;sexp;query
03759ned20;(VALUE (03759ned (MSR M000352 (WHERE (DIM GC GM0693)))));hoeveel mensen woonde er in 2005 in Graafstroom
03759ned20;(VALUE (03759ned (MSR M000352 (WHERE (DIM GC GM0693)))));wat was de bevolking van Graafstroom in 2015
03759ned21;(VALUE (03759ned (MSR M000352 (WHERE (DIM Leeftijd 10000)))));hoe groot was de totale bevolking van borculo
03759ned27;(VALUE (03759ned (MSR M000352 (WHERE (DIM GC GM0269) (DIM BurgerlijkeStaat 1010)))));Hoeveel ongehuwde personen leven er in oldebroke
03759ned27;(VALUE (03759ned (MSR M000352 (WHERE (DIM GC GM0269) (DIM BurgerlijkeStaat 1010)))));niet-getrouwde mensen in oldebroek
03759ned27;(VALUE (03759ned (MSR M000352 (WHERE (DIM GC GM0269) (DIM BurgerlijkeStaat 1010)))));vrijgezellen in oldebroek
37230ned13;(VALUE (37230ned (MSR M000099 (WHERE (DIM GC LD01) (DIM TC 2020MM09)))));aantal mensen in noord-nederland in 2020
37230ned13;(VALUE (37230ned (MSR M000099 (WHERE (DIM GC LD01) (DIM TC 2020MM09)))));wat is de bevolking van noord-nederland
03759ned23;(VALUE (03759ned (MSR M000352 (WHERE (DIM BurgerlijkeStaat T001019) (DIM TC 1990JJ00) (DIM GC GM0429) (DIM Leeftijd 10000)))));hoeveel inwoners telde Obdam in 1990
03759ned23;(VALUE (03759ned (MSR M000352 (WHERE (DIM BurgerlijkeStaat T001019) (DIM TC 1990JJ00) (DIM GC GM0429) (DIM Leeftijd 10000)))));hoeveel mensen woonden in Obdam 1990
37230ned18;(VALUE (37230ned (MSR M000102_1 (WHERE (DIM TC 2015MM06)))));hoeveel mensen zijn erbij gekomen in juni 2015
37230ned18;(VALUE (37230ned (MSR M000102_1 (WHERE (DIM TC 2015MM06)))));groeide de bevolking in juni 2015
37230ned19;"(VALUE (37230ned (MSR M000134 (WHERE (DIM GC PV23) (DIM TC 2015MM10)))))""";inwoners overijssel overleden in oktober 2015
37230ned20;(VALUE (37230ned (MSR M000099 (WHERE (DIM GC PV29)))));hoeveel inwoners Zeeland 
37230ned20;(VALUE (37230ned (MSR M000099 (WHERE (DIM GC PV29)))));hoeveel mensen zijn er in Zeeland
37230ned20;(VALUE (37230ned (MSR M000099 (WHERE (DIM GC PV29)))));aantal inwoners Zeeland
37230ned21;(VALUE (37230ned (MSR M000167 (WHERE (DIM GC PV27)))));hoeveel mensen uit het buitenland kwamen erbij in Noord-Holland
37230ned21;(VALUE (37230ned (MSR M000167 (WHERE (DIM GC PV27)))));immigranten in Noord-Holland
37230ned21;(VALUE (37230ned (MSR M000167 (WHERE (DIM GC PV27)))));immigratie naar Noord-Holland
37230ned21;(VALUE (37230ned (MSR M000167 (WHERE (DIM GC PV27)))));aantal immigranten Noord-Holland
37230ned22;(VALUE (37230ned (MSR M000101_3 (WHERE (DIM TC 2021MM11)))));bevolkingsgroei in procenten in 2021
37230ned22;(VALUE (37230ned (MSR M000101_3 (WHERE (DIM TC 2021MM11)))));percentage mensen erbij november 2021
37230ned23;(VALUE (37230ned (MSR M000134 (WHERE (DIM TC 2007MM07) (DIM GC PV21)))));hoeveel mensen overleden in Friesland in juli 2007
37230ned23;(VALUE (37230ned (MSR M000134 (WHERE (DIM TC 2007MM07) (DIM GC PV21)))));aantal mensen overleden in Fryslân in juli 2007
37230ned23;(VALUE (37230ned (MSR M000134 (WHERE (DIM TC 2007MM07) (DIM GC PV21)))));hoeveel personen overleden in Friesland in juli 2007
37230ned23;(VALUE (37230ned (MSR M000134 (WHERE (DIM TC 2007MM07) (DIM GC PV21)))));aantal mensen overleden in Fryslân in juli 2007
7022gza8;(VALUE (7022gza (MSR M005178_2 (WHERE (DIM Geslacht 3000)))));relatief hoeveel mannen hebben zelfmoord gepleegd
7022gza10;(VALUE (7022gza (MSR D005130 (WHERE (DIM TC 1960JJ00) (DIM Leeftijd 60800)))));aantal personen van 75 jaar zichzelf verdronken in 1960
7022gza11;(VALUE (7022gza (MSR D005037 (WHERE (DIM Geslacht 3000) (DIM Leeftijd 60600) (DIM TC 1999JJ00)))));hoeveel mannen van 50 jaar hebben in 1999 zelfmoord gepleegd
7022gza9;(VALUE (7022gza (MSR D004458 (WHERE (DIM Geslacht T001038)))));Overige zelfdoding
7022gza9;(VALUE (7022gza (MSR D004458 (WHERE (DIM Geslacht T001038)))));Overige suicide
7022gza12;(VALUE (7022gza (MSR D005106 (WHERE (DIM Geslacht 3000) (DIM TC 1986JJ00)))));Zelfdoding door mannen door van dak springen 1986
7022gza13;(VALUE (7022gza (MSR 1080_1 (WHERE (DIM TC 1966JJ00)))));zelfdoding na scheiding 1966
70936ned0;(VALUE (70936ned (MSR M000239 (WHERE (DIM TC 2007MM07)))));cpi jaar juli 2007
70936ned0;(VALUE (70936ned (MSR M000239 (WHERE (DIM TC 2007MM07)))));inflatie juli 2007
70936ned0;(VALUE (70936ned (MSR M000239 (WHERE (DIM TC 2007MM07)))));jaarmutatie consumentenprijsindex 2007
80416ned16;(VALUE (80416ned (MSR A047221 (WHERE (DIM TC 20121213)))));lpg prijs 13 december 2012
80416ned16;(VALUE (80416ned (MSR A047221 (WHERE (DIM TC 20121213)))));pompprijs per liter december 2012
80416ned16;(VALUE (80416ned (MSR A047221 (WHERE (DIM TC 20121213)))));brandstof prijs 2012
80416ned17;(VALUE (80416ned (MSR A047219 (WHERE (DIM TC 20160805)))));dieselprijs 5 augustus 2016
80444ned0;(VALUE (80444ned (MSR M005357 (WHERE (DIM TC 2005JJ00)))));kosten 2005 nieuwbouw materiaalcomponent
80590ned0;(VALUE (80590ned (MSR 3000795_2 (WHERE (DIM Leeftijd 53050) (DIM TC 2019MM06) (DIM Geslacht 3000)))));beroepsbevolking juni 2019 mannen van 15 tot 25 jaar
80590ned1;(VALUE (80590ned (MSR D006409 (WHERE (DIM TC 2018MM07) (DIM Geslacht 4000) (DIM Leeftijd 53310)))));werkzame vrouwen van 25 tot 45 jaar in juli 2018
80590ned1;(VALUE (80590ned (MSR D006409 (WHERE (DIM TC 2018MM07) (DIM Geslacht 4000) (DIM Leeftijd 53310)))));arbeidsdeelname onder vrouwen in de leeftijd van 25 tot 45 in 2018
7022gza12;(VALUE (7022gza (MSR D005106 (WHERE (DIM Geslacht 3000) (DIM TC 1986JJ00)))));aantal mannen in 1986 van gebouw gesprongen
7022gza12;(VALUE (7022gza (MSR D005106 (WHERE (DIM Geslacht 3000) (DIM TC 1986JJ00)))));hoeveel mannen hebben in 1986 zelfmoord gepleegd door te springen
7022gza12;(VALUE (7022gza (MSR D005106 (WHERE (DIM Geslacht 3000) (DIM TC 1986JJ00)))));suïcide onder mannen in 1986
81234ned0;(VALUE (81234ned (MSR M000004 (WHERE (DIM TC 2017MM01)))));voorraden industrie januari 2017
81234ned0;(VALUE (81234ned (MSR M000004 (WHERE (DIM TC 2017MM01)))));producenten vertrouwen naar voorraad bedrijfstak 2017
81234ned1;(VALUE (81234ned (MSR M000210 (WHERE (DIM BedrijfstakkenBranchesSBI2008 328105) (DIM TC 2018MM10)))));orderpositie metaalproductie industrie oktober 2018
81234ned1;(VALUE (81234ned (MSR M000210 (WHERE (DIM BedrijfstakkenBranchesSBI2008 328105) (DIM TC 2018MM10)))));basismetaal orders oktober 2018
81309NED0;(VALUE (81309NED (MSR D001513 (WHERE (DIM Belastingen A047659) (DIM Prijscomponenten A047656)))));aardgasprijs inclusief btw
81309NED0;(VALUE (81309NED (MSR D001513 (WHERE (DIM Belastingen A047659) (DIM Prijscomponenten A047656)))));aardgas en elektriciteit prijs
7022gza14;(VALUE (7022gza (MSR M005178_1 (WHERE (DIM TC 1953JJ00) (DIM Geslacht T001038) (DIM Leeftijd 41400)))));hoeveel mensen onder de 20 hebben zelfmoord gepleegd in 1953
7022gza14;(VALUE (7022gza (MSR M005178_1 (WHERE (DIM TC 1953JJ00) (DIM Geslacht T001038) (DIM Leeftijd 41400)))));aantal personen jonger dan 20 jaar zelfmoord in 1953
7022gza14;(VALUE (7022gza (MSR M005178_1 (WHERE (DIM TC 1953JJ00) (DIM Geslacht T001038) (DIM Leeftijd 41400)))));overledenen door zelfdoding jonger dan 20 jaar in 1953
7022gza14;(VALUE (7022gza (MSR M005178_1 (WHERE (DIM TC 1953JJ00) (DIM Geslacht T001038) (DIM Leeftijd 41400)))));suïcide jongeren 1953
7022gza14;(VALUE (7022gza (MSR M005178_1 (WHERE (DIM TC 1953JJ00) (DIM Geslacht T001038) (DIM Leeftijd 41400)))));aantal jongeren omgekomen door zelfmoord in 1953
81309NED1;(VALUE (81309NED (MSR D001529 (WHERE (DIM Prijscomponenten A047656) (DIM TC 2011JJ00)))));Elektriciteitsprijs 2011
81309NED2;(VALUE (81309NED (MSR D001516 (WHERE (DIM Prijscomponenten A047657) (DIM Belastingen A047660)))));leveringsprijs aardgas 
81589NED0;(VALUE (81589NED (MSR WP19089 (WHERE (DIM BedrijfstakkenBranchesSBI2008 305000)))));aantal vissers in bedrijf
81589NED0;(VALUE (81589NED (MSR WP19089 (WHERE (DIM BedrijfstakkenBranchesSBI2008 305000)))));bedrijfsgrootte visserij
81589NED0;(VALUE (81589NED (MSR WP19089 (WHERE (DIM BedrijfstakkenBranchesSBI2008 305000)))));werkzame personen binnen vissersbedrijf
7022gza18;(VALUE (7022gza (MSR D005060 (WHERE (DIM TC 1976JJ00)))));hoeveel mensen hebben zelfmoord gepleegd met medicijnen in 1976
7022gza18;(VALUE (7022gza (MSR D005060 (WHERE (DIM TC 1976JJ00)))));hoeveel mensen hebben zelfmoord gepleegd met hulp van alcohol in 1976
7022gza18;(VALUE (7022gza (MSR D005060 (WHERE (DIM TC 1976JJ00)))));zelfdoding door pillen in 1976
7022gza18;(VALUE (7022gza (MSR D005060 (WHERE (DIM TC 1976JJ00)))));zelfdoding door alcohol in 1976
81589NED1;(VALUE (81589NED (MSR WP19085 (WHERE (DIM TC 2021KW04) (DIM BedrijfstakkenBranchesSBI2008 302200)))));specerijenteelt 4e kwartaal 2021 werkzame personen
81589NED1;(VALUE (81589NED (MSR WP19085 (WHERE (DIM TC 2021KW04) (DIM BedrijfstakkenBranchesSBI2008 302200)))));mensen in dienst teelt van kruiden 2021
81589NED1;(VALUE (81589NED (MSR WP19085 (WHERE (DIM TC 2021KW04) (DIM BedrijfstakkenBranchesSBI2008 302200)))));werkzame personen teelt van specerijen per kwartaal
81589NED2;(VALUE (81589NED (MSR WP19079 (WHERE (DIM BedrijfstakkenBranchesSBI2008 302504) (DIM TC 2022KW03)))));zzpers kasplanten teelt 2022
80416ned18;(VALUE (80416ned (MSR A047219 (WHERE (DIM TC 20210731)))));Prijs van diesel zaterdag 31 juli 2021
80416ned18;(VALUE (80416ned (MSR A047219 (WHERE (DIM TC 20210731)))));wat kostte diesel op 31 juli 2021
80416ned18;(VALUE (80416ned (MSR A047219 (WHERE (DIM TC 20210731)))));dieselprijs zaterdag 31 juli 2021
80416ned18;(VALUE (80416ned (MSR A047219 (WHERE (DIM TC 20210731)))));dieselprijs 2021
82838NED0;(VALUE (82838NED (MSR M001734_1 (WHERE (DIM CaoSectoren T001020) (DIM Versie A045600)))));cao lonen inclusief bijzondere beloningen per maand totaal
82838NED0;(VALUE (82838NED (MSR M001734_1 (WHERE (DIM CaoSectoren T001020) (DIM Versie A045600)))));Cao lonen
82838NED0;(VALUE (82838NED (MSR M001734_1 (WHERE (DIM CaoSectoren T001020) (DIM Versie A045600)))));cao index
82838NED0;(VALUE (82838NED (MSR M001734_1 (WHERE (DIM CaoSectoren T001020) (DIM Versie A045600)))));loonkosten indexcijfers
80444ned1;(VALUE (80444ned (MSR M005357 (WHERE (DIM TC 1995JJ00)))));Wat zijn de bouwkosten voor een nieuwbouwwoning in 1995
80444ned1;(VALUE (80444ned (MSR M005357 (WHERE (DIM TC 1995JJ00)))));Nieuwbouwkosten 1995
82900NED1;(VALUE (82900NED (MSR A047047 (WHERE (DIM StatusVanBewoning A028725)))));bewoonde woningen in eigendom van corporatie
82900NED1;(VALUE (82900NED (MSR A047047 (WHERE (DIM StatusVanBewoning A028725)))));woningvereniging aantal bewoonde woningen
82900NED1;(VALUE (82900NED (MSR A047047 (WHERE (DIM StatusVanBewoning A028725)))));huurwoning in gebruik per corporatie
82900NED1;(VALUE (82900NED (MSR A047047 (WHERE (DIM StatusVanBewoning A028725)))));huurwoningen bewoond van woningcorporatie
03759ned24;(VALUE (03759ned (MSR M000365 (WHERE (DIM BurgerlijkeStaat T001019) (DIM TC 2003JJ00)))));aantal huwelijkspartners in 2003
03759ned24;(VALUE (03759ned (MSR M000365 (WHERE (DIM BurgerlijkeStaat T001019) (DIM TC 2003JJ00)))));aantal samenwoners in 2003
80590ned2;(VALUE (80590ned (MSR D002308 (WHERE (DIM Leeftijd 53310) (DIM TC 2011MM11)))));beroepsbevolking 25 tot 45 jaar november 2011
80590ned2;(VALUE (80590ned (MSR D002308 (WHERE (DIM Leeftijd 53310) (DIM TC 2011MM11)))));hoeveel mensen hoorden tot de beroepsbevolking in 2011
7022gza15;(VALUE (7022gza (MSR D005037 (WHERE (DIM Geslacht 4000) (DIM TC 2012JJ00)))));suïcide onder vrouwen in 2012
7022gza16;(VALUE (7022gza (MSR D004458 (WHERE (DIM Geslacht T001038) (DIM Leeftijd 60600)))));opzettelijk overlijden tussen de 50 en 60 jaar
7022gza17;(VALUE (7022gza (MSR 1020_2 (WHERE (DIM Geslacht T001038) (DIM TC 1981JJ00)))));totaal gehuwde overledenen door zelfdoding in 1981
7022gza17;(VALUE (7022gza (MSR 1020_2 (WHERE (DIM Geslacht T001038) (DIM TC 1981JJ00)))));zelfmoord onder gehuwden in 1981
7022gza17;(VALUE (7022gza (MSR 1020_2 (WHERE (DIM Geslacht T001038) (DIM TC 1981JJ00)))));zelfdoding onder getrouwden in 1981
7022gza17;(VALUE (7022gza (MSR 1020_2 (WHERE (DIM Geslacht T001038) (DIM TC 1981JJ00)))));overlijdens onder getrouwden in 1981
7022gza19;(VALUE (7022gza (MSR D005130 (WHERE (DIM TC 1956JJ00) (DIM Geslacht T001038) (DIM Leeftijd 60800)))));zelfdoding door verdrinking in 1956 
7022gza19;(VALUE (7022gza (MSR D005130 (WHERE (DIM TC 1956JJ00) (DIM Geslacht T001038) (DIM Leeftijd 60800)))));zelfmoord door verdrinking in 1956 door bejaarden
7022gza19;(VALUE (7022gza (MSR D005130 (WHERE (DIM TC 1956JJ00) (DIM Geslacht T001038) (DIM Leeftijd 60800)))));hoeveel bejaarden verdronken er opzettelijk in 1956
70936ned1;(VALUE (70936ned (MSR M000239 (WHERE (DIM TC 2022MM05)))));inflatie mei 2022
70936ned1;(VALUE (70936ned (MSR M000239 (WHERE (DIM TC 2022MM05)))));cpi mei 2022
70936ned1;(VALUE (70936ned (MSR M000239 (WHERE (DIM TC 2022MM05)))));consumentenprijzen mei 2022
70936ned1;(VALUE (70936ned (MSR M000239 (WHERE (DIM TC 2022MM05)))));consumentenprijsindex mei 2022
70936ned1;(VALUE (70936ned (MSR M000239 (WHERE (DIM TC 2022MM05)))));inflatie voorjaar 2022
70936ned1;(VALUE (70936ned (MSR M000239 (WHERE (DIM TC 2022MM05)))));jaarmutatie prijzen
7123slac5;(VALUE (7123slac (MSR M003388 (WHERE (DIM Slachtdieren A048701)))));hoeveel kalveren zijn er geslacht
7123slac5;(VALUE (7123slac (MSR M003388 (WHERE (DIM Slachtdieren A048701)))));aantal geslachte kalveren
7123slac5;(VALUE (7123slac (MSR M003388 (WHERE (DIM Slachtdieren A048701)))));aantal geslachte kalfjes
7123slac6;(VALUE (7123slac (MSR M003257 (WHERE (DIM Slachtdieren A028999)))));aantal slachtingen kuikens
7123slac6;(VALUE (7123slac (MSR M003257 (WHERE (DIM Slachtdieren A028999)))));aantal geslachte kuikentjes
71450ned0;(VALUE (71450ned (MSR M005515 (WHERE (DIM TC 2014SJ00) (DIM Geslacht T001038) (DIM GC SG17) (DIM Leeftijd 10000) (DIM Migratieachtergrond 2012655)))));westerse leerlingen in Tilburg 2014/15
71450ned0;(VALUE (71450ned (MSR M005515 (WHERE (DIM TC 2014SJ00) (DIM Geslacht T001038) (DIM GC SG17) (DIM Leeftijd 10000) (DIM Migratieachtergrond 2012655)))));aantal leerlingen Tilburg 2014
71450ned0;(VALUE (71450ned (MSR M005515 (WHERE (DIM TC 2014SJ00) (DIM Geslacht T001038) (DIM GC SG17) (DIM Leeftijd 10000) (DIM Migratieachtergrond 2012655)))));studenten in Tilburg 2014/15 met westerse achtergrond
71450ned0;(VALUE (71450ned (MSR M005515 (WHERE (DIM TC 2014SJ00) (DIM Geslacht T001038) (DIM GC SG17) (DIM Leeftijd 10000) (DIM Migratieachtergrond 2012655)))));studenten Tilburg 2014
71450ned1;(VALUE (71450ned (MSR M005515 (WHERE (DIM GC GM0307)))));aantal studenten in Amersfoort
71450ned1;(VALUE (71450ned (MSR M005515 (WHERE (DIM GC GM0307)))));aantal leerlingen in Amersfoort
71450ned2;(VALUE (71450ned (MSR M005515 (WHERE (DIM Onderwijssoort T001345) (DIM GC GM0975) (DIM Migratieachtergrond H008766) (DIM TC 2003SJ00) (DIM Geslacht T001038)))));aantal leerlingen voortgezet onderwijs in Swalmen met Turkse achtergrond in 2003
71450ned4;(VALUE (71450ned (MSR M005515 (WHERE (DIM GC GM0362)))));aantal studenten in Amstelveen
80072ned0;(VALUE (80072ned (MSR M001924 (WHERE (DIM TC 2021KW03)))));ziekteverzuim 3e kwartaal 2021
80072ned0;(VALUE (80072ned (MSR M001924 (WHERE (DIM TC 2021KW03)))));verzuim door ziekte 2021 3e kwartaal
80072ned0;(VALUE (80072ned (MSR M001924 (WHERE (DIM TC 2021KW03)))));percentage zieken derde kwartaal
80072ned1;(VALUE (80072ned (MSR M001924 (WHERE (DIM BedrijfskenmerkenSBI2008 300013)))));ziekteverzuim dienstverlening
80072ned1;(VALUE (80072ned (MSR M001924 (WHERE (DIM BedrijfskenmerkenSBI2008 300013)))));ziekmeldingen in de dienstverlening
80072ned1;(VALUE (80072ned (MSR M001924 (WHERE (DIM BedrijfskenmerkenSBI2008 300013)))));percentage verzuim door ziekte dienstensector
80072ned2;(VALUE (80072ned (MSR M001924 (WHERE (DIM BedrijfskenmerkenSBI2008 WP19098)))));ziekteverzuim naar bedrijfsgrootte
80072ned2;(VALUE (80072ned (MSR M001924 (WHERE (DIM BedrijfskenmerkenSBI2008 WP19098)))));percentage ziekmeldingen grote bedrijven
80072ned2;(VALUE (80072ned (MSR M001924 (WHERE (DIM BedrijfskenmerkenSBI2008 WP19098)))));verzuim naar hoeveelheid personeel
80416ned0;(VALUE (80416ned (MSR A047220 (WHERE (DIM TC 20150505)))));literprijzen benzine op 5 mei 2015
80416ned1;(VALUE (80416ned (MSR A047219 (WHERE (DIM TC 20221019)))));dieselprijs woensdag 19 oktober 2022
80444ned4;(VALUE (80444ned (MSR M005436 (WHERE (DIM TC 2015JJ00)))));looncomponent kosten nieuwbouw 2015
80444ned4;(VALUE (80444ned (MSR M005436 (WHERE (DIM TC 2015JJ00)))));loonkosten bouwindex 
03759ned26;(VALUE (03759ned (MSR M000352 (WHERE (DIM GC GM0105)))));Wat is de bevolking van Anloo
03759ned28;(VALUE (03759ned (MSR M000352 (WHERE (DIM Geslacht T001038)))));Wat is de totale bevolking
80590ned5;(VALUE (80590ned (MSR M005036 (WHERE (DIM TC 2016MM03)))));aantal personen dat deelneemt aan de arbeidsmarkt maart 2016
82900NED4;(VALUE (82900NED (MSR T001258 (WHERE (DIM TC 2022JJ00) (DIM GC GM1641)))));wat is de voorraad woningen in maasgouw in 2022
82900NED4;(VALUE (82900NED (MSR T001258 (WHERE (DIM TC 2022JJ00) (DIM GC GM1641)))));hoeveel huizen totaal in Maasgouw in 2022
82900NED5;(VALUE (82900NED (MSR A028867_2 (WHERE (DIM GC GM0164) (DIM TC 2014JJ00)))));Wat is het totaal aantal huurwoningen van hengelo in 2014?
03759ned29;(VALUE (03759ned (MSR M000365 (WHERE (DIM Geslacht T001038) (DIM GC GM0762) (DIM Leeftijd 10000) (DIM BurgerlijkeStaat 1010) (DIM TC 2003JJ00)))));hoeveel inwoners waren er in 2003 in Deurne ongetrouwd
03759ned29;(VALUE (03759ned (MSR M000365 (WHERE (DIM Geslacht T001038) (DIM GC GM0762) (DIM Leeftijd 10000) (DIM BurgerlijkeStaat 1010) (DIM TC 2003JJ00)))));aantal mensen 2003 Deurne niet getrouwd
03759ned29;(VALUE (03759ned (MSR M000365 (WHERE (DIM Geslacht T001038) (DIM GC GM0762) (DIM Leeftijd 10000) (DIM BurgerlijkeStaat 1010) (DIM TC 2003JJ00)))));aantal ongehuwde personen in Deurne in 2003
03759ned30;(VALUE (03759ned (MSR M000365 (WHERE (DIM TC 2019JJ00) (DIM GC CR11) (DIM BurgerlijkeStaat T001019)))));hoeveel mensen waren er in 2019 in Zuidwest-Overijssel
03759ned30;(VALUE (03759ned (MSR M000365 (WHERE (DIM TC 2019JJ00) (DIM GC CR11) (DIM BurgerlijkeStaat T001019)))));inwoners Zuidwest-Overijssel 2019
03759ned34;(VALUE (03759ned (MSR M000352 (WHERE (DIM Leeftijd 10000) (DIM TC 1999JJ00) (DIM GC GM0692) (DIM Geslacht T001038)))));hoeveel inwoners had Oostburg in 1999
03759ned34;(VALUE (03759ned (MSR M000352 (WHERE (DIM Leeftijd 10000) (DIM TC 1999JJ00) (DIM GC GM0692) (DIM Geslacht T001038)))));hoeveel mensen woonden er in Oostburg in 1999
03759ned34;(VALUE (03759ned (MSR M000352 (WHERE (DIM Leeftijd 10000) (DIM TC 1999JJ00) (DIM GC GM0692) (DIM Geslacht T001038)))));aantal personen Oostburg in 1999
03759ned34;(VALUE (03759ned (MSR M000352 (WHERE (DIM Leeftijd 10000) (DIM TC 1999JJ00) (DIM GC GM0692) (DIM Geslacht T001038)))));bevolking Oostburg 1999
03759ned37;(VALUE (03759ned (MSR M000365 (WHERE (DIM Leeftijd 10000) (DIM BurgerlijkeStaat T001019) (DIM GC GM0629) (DIM TC 2007JJ00)))));aantal inwoners Wassenaar 2007
03759ned37;(VALUE (03759ned (MSR M000365 (WHERE (DIM Leeftijd 10000) (DIM BurgerlijkeStaat T001019) (DIM GC GM0629) (DIM TC 2007JJ00)))));hoeveel inwoners had Wassenaar in 2007
03759ned37;(VALUE (03759ned (MSR M000365 (WHERE (DIM Leeftijd 10000) (DIM BurgerlijkeStaat T001019) (DIM GC GM0629) (DIM TC 2007JJ00)))));hoeveel mensen woonden er in Wassenaar in 2007
03759ned37;(VALUE (03759ned (MSR M000365 (WHERE (DIM Leeftijd 10000) (DIM BurgerlijkeStaat T001019) (DIM GC GM0629) (DIM TC 2007JJ00)))));aantal personen Wassenaar in 2007
03759ned37;(VALUE (03759ned (MSR M000365 (WHERE (DIM Leeftijd 10000) (DIM BurgerlijkeStaat T001019) (DIM GC GM0629) (DIM TC 2007JJ00)))));bevolking Wassenaar 2007
37230ned24;(VALUE (37230ned (MSR M000167 (WHERE (DIM GC PV23) (DIM TC 2002JJ00)))));aantal immigranten in Overijssel in 2002
37230ned24;(VALUE (37230ned (MSR M000167 (WHERE (DIM GC PV23) (DIM TC 2002JJ00)))));hoeveel mensen hebben zich gevestigd in Overijssel in 2002
37230ned24;(VALUE (37230ned (MSR M000167 (WHERE (DIM GC PV23) (DIM TC 2002JJ00)))));immigratie Overijssel 2002
37230ned24;(VALUE (37230ned (MSR M000167 (WHERE (DIM GC PV23) (DIM TC 2002JJ00)))));aantal mensen uit het buitenland in Overijssel in 2002
37230ned25;(VALUE (37230ned (MSR M000134 (WHERE (DIM GC LD02) (DIM TC 2019MM01)))));hoeveel overledenen waren er in Oost-Nederland in januari 2019
37230ned25;(VALUE (37230ned (MSR M000134 (WHERE (DIM GC LD02) (DIM TC 2019MM01)))));aantal mensen overleden Oost-Nederland in januari 2019
37230ned25;(VALUE (37230ned (MSR M000134 (WHERE (DIM GC LD02) (DIM TC 2019MM01)))));hoeveel personen zijn overleden in Oost-Nederland in januari 2019
37230ned29;(VALUE (37230ned (MSR M000101_3 (WHERE (DIM TC 2010MM04) (DIM GC PV29)))));hoeveel mensen zijn er relatief bijgekomen in Zeeland in april 2010
37230ned29;(VALUE (37230ned (MSR M000101_3 (WHERE (DIM TC 2010MM04) (DIM GC PV29)))));relatief hoeveel is de bevolking gegroeid in Zeeland in april 2010
03759ned31;(VALUE (03759ned (MSR M000352 (WHERE (DIM GC GM1690) (DIM TC 2022JJ00) (DIM Leeftijd 10000) (DIM Geslacht T001038)))));hoeveel mensen woonden er in de wolden in 2022
03759ned31;(VALUE (03759ned (MSR M000352 (WHERE (DIM GC GM1690) (DIM TC 2022JJ00) (DIM Leeftijd 10000) (DIM Geslacht T001038)))));hoeveel inwoners had de wolden in 2022
37230ned30;(VALUE (37230ned (MSR M000099 (WHERE (DIM GC PV22)))));Hoeveel inwoners heeft Drenthe
37230ned30;(VALUE (37230ned (MSR M000099 (WHERE (DIM GC PV22)))));aantal mensen in Drenthe
37230ned30;(VALUE (37230ned (MSR M000099 (WHERE (DIM GC PV22)))));bevolking van Drenthe
37230ned30;(VALUE (37230ned (MSR M000099 (WHERE (DIM GC PV22)))));hoeveel mensen wonen in Drenthe
37230ned30;(VALUE (37230ned (MSR M000099 (WHERE (DIM GC PV22)))));aantal personen in Drenthe
7123slac29;(VALUE (7123slac (MSR M003257 (WHERE (DIM TC 2009MM06) (DIM Slachtdieren A028975)))));wat is het geslacht gewicht van koeien in juni 2009
7123slac29;(VALUE (7123slac (MSR M003257 (WHERE (DIM TC 2009MM06) (DIM Slachtdieren A028975)))));koeien, geslacht gewicht in juni 2009
7123slac30;(VALUE (7123slac (MSR M003257 (WHERE (DIM Slachtdieren A028975)))));geslacht gewicht van slachtkoeien
7123slac30;(VALUE (7123slac (MSR M003257 (WHERE (DIM Slachtdieren A028975)))));slachtkoeien, geslacht gewicht
7123slac30;(VALUE (7123slac (MSR M003257 (WHERE (DIM Slachtdieren A028975)))));totaal geslacht gewicht van slachtkoeien
7123slac33;(VALUE (7123slac (MSR M003388 (WHERE (DIM TC 2002MM10) (DIM Slachtdieren A048698)))));aantal geslachte vaarzen in oktober 2002
7123slac34;(VALUE (7123slac (MSR M003257 (WHERE (DIM Slachtdieren A029002)))));geslacht gewicht, overig pluimvee
7123slac34;(VALUE (7123slac (MSR M003257 (WHERE (DIM Slachtdieren A029002)))));totaal geslacht gewicht van overig pluimvee
7123slac35;(VALUE (7123slac (MSR M003257 (WHERE (DIM TC 2016MM09) (DIM Slachtdieren A028999)))));geslacht gewicht van vleeskuikens in september 2016
7123slac36;(VALUE (7123slac (MSR M003257 (WHERE (DIM Slachtdieren A028984)))));geslacht gewicht van schapen en lammeren 
7123slac36;(VALUE (7123slac (MSR M003257 (WHERE (DIM Slachtdieren A028984)))));geslacht gewicht van slachtdieren, schapen en lammeren
7123slac37;(VALUE (7123slac (MSR M003388 (WHERE (DIM TC 2011MM06) (DIM Slachtdieren A048697)))));aantal geslachte kalveren jonger dan 9 maanden in juni 2011
7123slac37;(VALUE (7123slac (MSR M003388 (WHERE (DIM TC 2011MM06) (DIM Slachtdieren A048697)))));slachtingen van jonge kalveren in juni 2011
7123slac38;(VALUE (7123slac (MSR M003388 (WHERE (DIM TC 2003JJ00)))));aantal slachtingen in de 2003
7123slac38;(VALUE (7123slac (MSR M003388 (WHERE (DIM TC 2003JJ00)))));hoeveel dieren zijn er geslacht in 2003
7123slac38;(VALUE (7123slac (MSR M003388 (WHERE (DIM TC 2003JJ00)))));geslachte dieren per jaar
7123slac39;(VALUE (7123slac (MSR M003388 (WHERE (DIM TC 2013MM12) (DIM Slachtdieren A048696)))));aantal slachtingen van schapenlammeren in december 2013
